,dt,AverageTemperature,AverageTemperatureUncertainty,Year,Month
2136,2006-01-01,-8.118,0.4,2006,1
2137,2006-02-01,-8.231,0.244,2006,2
2138,2006-03-01,-5.795,0.326,2006,3
2139,2006-04-01,2.137,0.244,2006,4
2140,2006-05-01,6.813,0.342,2006,5
2141,2006-06-01,11.554,0.223,2006,6
2142,2006-07-01,13.644,0.216,2006,7
2143,2006-08-01,11.414,0.212,2006,8
2144,2006-09-01,8.587,0.178,2006,9
2145,2006-10-01,1.384,0.199,2006,0
2146,2006-11-01,-10.372,0.424,2006,1
2147,2006-12-01,-7.39,0.172,2006,2
2148,2007-01-01,-9.218,0.248,2007,1
2149,2007-02-01,-9.038,0.463,2007,2
2150,2007-03-01,-5.019,0.384,2007,3
2151,2007-04-01,0.614,0.234,2007,4
2152,2007-05-01,6.235,0.126,2007,5
2153,2007-06-01,10.271,0.234,2007,6
2154,2007-07-01,13.733,0.126,2007,7
2155,2007-08-01,11.343,0.133,2007,8
2156,2007-09-01,7.086,0.23,2007,9
2157,2007-10-01,1.554,0.108,2007,0
2158,2007-11-01,-5.485,0.254,2007,1
2159,2007-12-01,-11.997,0.258,2007,2
2160,2008-01-01,-12.471,0.252,2008,1
2161,2008-02-01,-8.846,0.278,2008,2
2162,2008-03-01,-4.345,0.254,2008,3
2163,2008-04-01,-0.524,0.125,2008,4
2164,2008-05-01,7.213,0.13,2008,5
2165,2008-06-01,9.433,0.158,2008,6
2166,2008-07-01,12.091,0.179,2008,7
2167,2008-08-01,11.892,0.196,2008,8
2168,2008-09-01,7.626,0.181,2008,9
2169,2008-10-01,1.632,0.177,2008,0
2170,2008-11-01,-3.668,0.157,2008,1
2171,2008-12-01,-14.666,0.298,2008,2
2172,2009-01-01,-11.943,0.383,2009,1
2173,2009-02-01,-9.89,0.378,2009,2
2174,2009-03-01,-7.296,0.261,2009,3
2175,2009-04-01,0.721,0.288,2009,4
2176,2009-05-01,5.727,0.183,2009,5
2177,2009-06-01,11.029,0.25,2009,6
2178,2009-07-01,14.249,0.285,2009,7
2179,2009-08-01,12.619,0.21,2009,8
2180,2009-09-01,8.982,0.139,2009,9
2181,2009-10-01,0.183,0.124,2009,0
2182,2009-11-01,-4.671,0.267,2009,1
2183,2009-12-01,-13.748,0.361,2009,2
2184,2010-01-01,-9.348,0.535,2010,1
2185,2010-02-01,-5.248,0.366,2010,2
2186,2010-03-01,-1.385,0.296,2010,3
2187,2010-04-01,2.213,0.21,2010,4
2188,2010-05-01,6.283,0.237,2010,5
2189,2010-06-01,10.224,0.196,2010,6
2190,2010-07-01,13.096,0.248,2010,7
2191,2010-08-01,12.233,0.364,2010,8
2192,2010-09-01,7.054,0.136,2010,9
2193,2010-10-01,2.964,0.167,2010,0
2194,2010-11-01,-6.234,0.214,2010,1
2195,2010-12-01,-11.689,0.563,2010,2
2196,2011-01-01,-10.962,0.386,2011,1
2197,2011-02-01,-10.711,0.212,2011,2
2198,2011-03-01,-6.169,0.24,2011,3
2199,2011-04-01,-0.128,0.192,2011,4
2200,2011-05-01,6.517,0.296,2011,5
2201,2011-06-01,10.136,0.297,2011,6
2202,2011-07-01,11.586,0.252,2011,7
2203,2011-08-01,11.374,0.194,2011,8
2204,2011-09-01,8.73,0.183,2011,9
2205,2011-10-01,1.881,0.154,2011,0
2206,2011-11-01,-7.273,0.346,2011,1
2207,2011-12-01,-7.085,0.354,2011,2
2208,2012-01-01,-10.896,0.449,2012,1
2209,2012-02-01,-6.41,0.274,2012,2
2210,2012-03-01,-4.53,0.17,2012,3
2211,2012-04-01,1.721,0.318,2012,4
2212,2012-05-01,5.939,0.325,2012,5
2213,2012-06-01,9.579,0.31,2012,6
2214,2012-07-01,13.667,0.309,2012,7
2215,2012-08-01,12.909,0.279,2012,8
2216,2012-09-01,9.058,0.218,2012,9
2217,2012-10-01,-0.421,0.201,2012,0
2218,2012-11-01,-7.142,0.331,2012,1
2219,2012-12-01,-12.404,0.398,2012,2
2220,2013-01-01,-9.991,0.338,2013,1
2221,2013-02-01,-5.214,0.405,2013,2
2222,2013-03-01,-5.099,0.308,2013,3
2223,2013-04-01,-0.278,0.314,2013,4
2224,2013-05-01,7.8,0.271,2013,5
2225,2013-06-01,11.556,0.407,2013,6
2226,2013-07-01,13.366,0.201,2013,7
2227,2013-08-01,13.495,0.524,2013,8
2228,2013-09-01,10.332,2.327,2013,9
