,source,Year,value
8,BIOMASS,2006,10.6153344
11,NATURAL GAS,2006,8.5990356
12,OIL,2006,0.1280016
16,BIOMASS,2007,10.6153344
19,NATURAL GAS,2007,8.599032
20,OIL,2007,0.3296016
24,BIOMASS,2008,8.8825788
27,NATURAL GAS,2008,9.48645
28,OIL,2008,0.3404448
32,BIOMASS,2009,7.7862132
35,NATURAL GAS,2009,5.8884984
36,OIL,2009,0.4000031999999999
40,BIOMASS,2010,13.718646
43,NATURAL GAS,2010,7.520407199999999
44,OIL,2010,0.3855744
48,BIOMASS,2011,14.7995964
51,NATURAL GAS,2011,11.5735032
52,OIL,2011,0.3301632
56,BIOMASS,2012,14.5227276
59,NATURAL GAS,2012,9.2085192
60,OIL,2012,0.1662623999999999
64,BIOMASS,2013,13.7588436
67,NATURAL GAS,2013,5.4720936
68,OIL,2013,1.04151096
